Project,Latitude,Longitude,Large project,Address
79_bassins-nouveau-havre,45.49028761,-73.56327514,0,"1500 Rue Ottawa, Montréal, QC H3J 1S1"
80_places-lacadie-et-henri-bourassa,45.53300713,-73.679842,0,N/A
81_reaffectation-batiment-1420-boul-mont-royal,45.5112659,-73.60762294,0,"1420 Bd du Mont-Royal, Outremont, QC"
82_redeveloppement-anciens-ateliers-cn-1,45.48129911,-73.55260805,0,"1830 Rue le Ber, Montréal, QC H3K 2A4"
83_1800-boul-rene-levesque-ouest,45.49151722,-73.57696358,0,"1800 Boulevard René-Lévesque O, Montréal, QC H3H 2H2"
84_projet-developpement-maison-radio-canada,45.51824887,-73.55093955,0,"1400 Bd René-Lévesque E, Montréal, QC H2L 2M2"
85_antenne-diffusion-societe-radio-canada,45.505448,-73.591488,0,N/A
86_projet-carriere-saint-michel,45.573177,-73.620602,0,N/A
87_chemin-ceinture-et-chemins-traverse-au-mont-royal,N/A,N/A,0,N/A
88_projet-plan-protection-et-mise-en-valeur-mont-royal,N/A,N/A,1,N/A
89_agrandissement-lhopital-general-montreal,45.49706543,-73.58876922,0,N/A
90_complexe-sportif-sur-site-college-jean-brebeuf,45.50176866,-73.62291698,0,N/A
91_projet-plan-daction-famille-montreal,N/A,N/A,N/A,N/A
92_ancienne-gare-hotel-viger,45.512561,-73.552433,0,N/A
93_mont-royal-amenagement-aires-jeux-et-pique-nique,N/A,N/A,N/A,N/A
94_mont-royal-reamenagement-secteur-lentree-peel,45.50463046,-73.58600646,0,N/A
95_amenagement-site-contrecoeur,45.613344,-73.539697,0,N/A
96_modification-plan-durbanisme-arrondissement-pierrefonds-roxboro,N/A,N/A,1,N/A
97_gare-triage-doutremont,45.52473549,-73.61927052,0,N/A
98_projet-musee-beaux-arts-montreal,45.49918439,-73.57997579,0,"3407 Ave du Musée, Montréal, QC H3G 1K3"
99_centre-hospitalier-universitaire-sainte-justine,45.50342052,-73.62497531,0,N/A
100_centre-hospitalier-luniversite-montreal-chum,45.51192124,-73.55739816,0,"1000 R. Saint-Denis, Montréal, QC H2X 3J4"
101_condominiums-louis-boheme,45.50689757,-73.56877984,0,N/A
102_transformation-ledifice-nordelec,45.48459755,-73.56213037,0,"1751 Rue Richardson, Montréal, QC H3K 1G6"
103_ateliers-municipaux-rosemont,45.5314402,-73.59637694,0,N/A
104_agrandissement-stade-percival-molson,45.51084645,-73.58068322,0,"475 Ave des Pins, Montréal, QC H2W 1S4"
105_265-avenue-mont-royal-ouest,45.51817296,-73.58906044,0,"265 Ave du Mont-Royal O, Montréal, QC H2V 2S3"
106_centre-universitaire-sante-mcgill-cusm,45.4741755,-73.60093297,0,N/A
107_politique-developpement-culturel-pour-ville-montreal,N/A,N/A,N/A,N/A
108_projet-politique-patrimoine-ville-montreal,N/A,N/A,N/A,N/A
109_revision-plan-durbanisme,N/A,N/A,N/A,N/A
110_charte-montrealaise-droits-et-responsabilites,N/A,N/A,N/A,N/A
111_politique-protection-et-mise-en-valeur-milieux-naturels,N/A,N/A,N/A,N/A
112_roc-fleuri,45.499522,-73.576488,0,"2000 Rue Drummond, Montreal, QC H3G 1W9"
113_projet-immobilier-1440-montagne,45.49843968,-73.57651728,0,"1440 Rue de la Montagne, Montréal, QC H3G 1Z5"
114_hec-projet-reglements-p-04-019-et-p-04-020,45.50336598,-73.61959454,0,"5540 Ave Louis Colin, Montreal, QC H3T 1T7"
115_secteur-carrieres,45.53655463,-73.59217297,1,N/A
116_modification-au-plan-durbanisme-secteur-sainte-genevieve,45.48485733,-73.86300687,0,N/A
117_modification-au-plan-durbanisme-corridor-hydro-quebec,45.66073851,-73.50012652,1,N/A
118_plan-directeur-cimetiere-notre-dame-neiges,45.49860982,-73.60834235,1,N/A
119_7015-boul-gouin-est,45.62983817,-73.61903994,0,"7015 Boul. Gouin E, Montréal, QC H1E 5N2"
120_agrandissement-college-charlemagne,45.46062598,-73.91802153,0,"5000 Pilon St, Pierrefonds, Quebec H9K 1G4"
121_ancien-site-place-marc-aurele-fortin,45.62721968,-73.59796936,0,N/A
122_projet-residentiel-square-dauville,45.46238756,-73.89236849,0,N/A
123_oratoire-saint-joseph-du-mont-royal,45.49185201,-73.61642389,0,"3800 Queen Mary Rd, Montreal, Quebec H3V 1H6"
124_porte-sainte-marie,45.52488091,-73.54838498,0,N/A
125_modification-au-plan-durbanisme-boul-saint-jean-et-sources,45.49034208,-73.80316454,1,N/A
126_modification-au-plan-durbanisme-boul-rodolphe-forget,45.64790638,-73.57678706,0,"12285 Boulevard Rodolphe-Forget, Montreal, Quebec H1E 0A2"
127_modification-au-plan-durbanisme-boul-de-maisonneuve-ouest,45.4750583,-73.60349523,0,N/A
128_hopital-general-juif-de-montreal,45.4974953,-73.62898147,0,"3755 Chem. de la Côte-Sainte-Catherine, Montréal, QC H3T 1E2"
129_ilot-wolfe,45.51660682,-73.55417621,0,"1120 Rue Wolfe, Montréal, QC H2L 3J1"
