,file,speaker,sentence,lang
0,hearing_6f,LA PRÉSIDENTE,"Merci, Monsieur Durocher, pour ces rectifications.",fr
1,hearing_6f,LA PRÉSIDENTE,On arrive donc à la fin de cetteseconde séance.,fr
2,hearing_6f,LA PRÉSIDENTE,"J’aimerais remercier les représentants de la Société du Havre,collaborateurs et partenaires, toute l’équipe de l’Office qui a assuré le soutien et la logistiquede cet après-midi.",fr
3,hearing_6f,LA PRÉSIDENTE,Cette assemblée est maintenant terminée.,fr
4,hearing_6f,LA PRÉSIDENTE,"Nous continuerons ce soir ainsique la semaine prochaine, les 18 et 19 janvier, dans cette même salle pour les séancesultérieures d’audition des mémoires.",fr
5,hearing_6f,LA PRÉSIDENTE,Merci à toutes et à tous de votre présence et de votre participation.,fr
6,hearing_6f,LA PRÉSIDENTE,AJOURNEMENT*****,fr
