,file,speaker,sentence,lang
0,hearing_6i,"MME HÉLÈNE LAPERRIÈRE, présidente",Monsieur Morrissette était le dernier intervenant de l’après-midi.,fr
1,hearing_6i,"MME HÉLÈNE LAPERRIÈRE, présidente",Si monsieur RéjeanDurocher souhaite exercer un droit de rectification…,fr
2,hearing_6i,"MME HÉLÈNE LAPERRIÈRE, présidente","On me fait signe dans la salle,non .",fr
3,hearing_6i,"MME HÉLÈNE LAPERRIÈRE, présidente","Sinon j’aimerais en fermant cette avant-dernière session remercier tout le monde, lesreprésentants de la Société du Havre, collaborateurs, l’équipe de l’Office au soutien et à lalogistique.",fr
4,hearing_6i,"MME HÉLÈNE LAPERRIÈRE, présidente","Cette assemblée est maintenant terminée, nous continuons en soirée dans cettemême salle à compter de 19 heures pour la dernière séance d’audition des mémoires.",fr
5,hearing_6i,"MME HÉLÈNE LAPERRIÈRE, présidente","Je remercie toutes les personnes présentes cet après-midi, particulièrement pourvotre patience, votre courtoisie ainsi que votre participation.",fr
6,hearing_6i,"MME HÉLÈNE LAPERRIÈRE, présidente",Au plaisir et à ce soir.*************************Séance de l’après-midi du 19 janvier 2010,fr
