,file,speaker,sentence,lang
0,hearing_6j,LA PRÉSIDENTE,"Je vous remercie, Madame Hudon, pour ces diverses précisions ainsi que MonsieurCarette précédemment.",fr
1,hearing_6j,LA PRÉSIDENTE,"J’aimerais remercier, avant de terminer cette séance ce soir, les représentants de laSociété du Havre, collaborateurs, partenaires, toute l’équipe de l’Office qui a assuré lesoutien et la logistique de cette soirée.",fr
2,hearing_6j,LA PRÉSIDENTE,Cette assemblée est maintenant terminée.,fr
3,hearing_6j,LA PRÉSIDENTE,"Elle met un terme, comme vous le savez,à la seconde phase de la consultation.",fr
4,hearing_6j,LA PRÉSIDENTE,"C’est donc avec un brin d’émotion que je vous dismerci à tous de votre présence, de votre patience, de votre courtoisie et de votreparticipation.",fr
5,hearing_6j,LA PRÉSIDENTE,*************************,fr
