,file,speaker,sentence,lang
0,hearing_6b,LA PRÉSIDENTE,"Je vous remercie, Madame Alexandroff.",fr
1,hearing_6b,LA PRÉSIDENTE,"Je vais donc surseoir, il y a cinqpersonnes qui seront donc inscrites en tout premier le 1er décembre, qui serontprioritaires.",fr
2,hearing_6b,LA PRÉSIDENTE,"J’aimerais remercier, avant de terminer la séance, les représentants de la Sociétédu Havre, ses collaborateurs et partenaires.",fr
3,hearing_6b,LA PRÉSIDENTE,Merci à tous pour leur présentation et leursréponses.,fr
4,hearing_6b,LA PRÉSIDENTE,Un gros merci à l’équipe de l’Office également pour le soutien logistique.,fr
5,hearing_6b,LA PRÉSIDENTE,"On amaintenant terminé pour ce soir, on continue mardi prochain le 1er décembre dans cettemême salle.",fr
6,hearing_6b,LA PRÉSIDENTE,Merci à tous de votre participation.,fr
7,hearing_6b,LA PRÉSIDENTE,************************,fr
