,file,speaker,sentence,lang
0,hearing_6a,LA PRÉSIDENTE,"Alors, écoutez, ça fait le tour.",fr
1,hearing_6a,LA PRÉSIDENTE,"J’aimerais remercier, avant de terminer la séance, lesreprésentants de la Société du Havre, ses collaborateurs et partenaires pour leursprésentations, réponses et explications.",fr
2,hearing_6a,LA PRÉSIDENTE,"Je voudrais également remercier toute l’équipe del’Office qui est un peu tout autour de la salle, qui a assuré le soutien et la logistique decette séance-ci.",fr
3,hearing_6a,LA PRÉSIDENTE,Cette assemblée est maintenant terminée.,fr
4,hearing_6a,LA PRÉSIDENTE,"Nous continuerons jeudi soir le26 novembre dans cette même salle, à la même heure.",fr
5,hearing_6a,LA PRÉSIDENTE,Merci de votre présence et devotre participation.,fr
6,hearing_6a,LA PRÉSIDENTE,***************,fr
