,file,speaker,sentence,lang
0,hearing_6h,LA PRÉSIDENTE,"Monsieur Martin, Monsieur Veilleux, merci de ces rectificatifs.",fr
1,hearing_6h,LA PRÉSIDENTE,"MonsieurDurocher, également, d’avoir apporté les points précédents.",fr
2,hearing_6h,LA PRÉSIDENTE,Ça m’amène à la fermeture de cette soirée.,fr
3,hearing_6h,LA PRÉSIDENTE,"J’aimerais évidemment remercier lesreprésentants de la Société du Havre, collaborateurs et partenaires, toute l’équipe de l’Office qui aassuré le soutien.",fr
4,hearing_6h,LA PRÉSIDENTE,Cette assemblée est maintenant terminée.,fr
5,hearing_6h,LA PRÉSIDENTE,"La suite, demain après-midi et ensoirée pour les dernières séances d'audition des mémoires les cinquième et sixième.",fr
6,hearing_6h,LA PRÉSIDENTE,"Merci à touset à toutes de votre présence, votre patience, votre courtoisie et votre participation.",fr
7,hearing_6h,LA PRÉSIDENTE,***************,fr
