,file,speaker,sentence,lang
0,hearing_6c,LA PRÉSIDENTE,"Merci à vous, Madame Caron.",fr
1,hearing_6c,LA PRÉSIDENTE,Il est 10 heures 30.,fr
2,hearing_6c,LA PRÉSIDENTE,J’ai épuisé exactement la moitiéde la liste des intervenants.,fr
3,hearing_6c,LA PRÉSIDENTE,"Je vous suggérerais de fermer cette session-ci en reprenantdemain soir et en vous rappelant que demain soir, on n’aura pas de présentation.",fr
4,hearing_6c,LA PRÉSIDENTE,"Donc,l’audition des questions sera faite directement.",fr
5,hearing_6c,LA PRÉSIDENTE,Ça implique également que nos expertsseront encore à pied d’œuvre demain soir.,fr
6,hearing_6c,LA PRÉSIDENTE,"J’aimerais avant de terminer tout à fait la séance remercier l’ensemble desreprésentants de la Société du Havre, de collaborateurs et partenaires pour leur présentation,réponses et explications, l’Office pour ses bons soins et son soutien à la logistique.",fr
7,hearing_6c,LA PRÉSIDENTE,"Nous continuons donc demain soir avec dès 19 heures dans cette même salle avecl’audition des questions et je rappelle pour terminer que le thème de la seconde soirée,Quartier viable et vivable, pourrait être entendu demain en complément de questions inscritesce soir sur le transport.",fr
8,hearing_6c,LA PRÉSIDENTE,"Je vous remercie tous pour votre présence, votre participation et votre courtoisie àl’égard de la salle.",fr
