,file,speaker,sentence,lang
0,hearing_6g,LA PRÉSIDENTE,"J’aimerais remercier, avant de terminer, la séance de ce soir, les représentants dela Société du Havre, collaborateurs et partenaires, toute l’équipe",fr
1,hearing_6g,LA PRÉSIDENTE,de l’Office qui a assuré lesoutien et la logistique.,fr
2,hearing_6g,LA PRÉSIDENTE,"Cette assemblée est maintenant terminée, nous continuerons lasemaine prochaine, donc les 18 et 19 janvier, dans cette même salle, pour la suite desséances d’audition des mémoires.",fr
3,hearing_6g,LA PRÉSIDENTE,"Merci à tous de votre présence, de votre patience, de votre courtoisie, ainsi que devotre participation.",fr
4,hearing_6g,LA PRÉSIDENTE,Au plaisir!AJOURNEMENT****************,fr
